intent,category,question,answer
mpesa_payment,Payment,"Hi, Can I pay on delivery?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
damaged_in_transit,Returns,"Hey, Item imefika ikiwa imeharibika naomba msaada?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
product_care_instructions,Products,"Hi, Do I need to hand wash this basi?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
installment_payment,Payments,"Quick question, Naomba nilipe kidogo kidogo?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
order_status,Orders,"Excuse me, Umeshtuma bidhaa zangu?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
wrong_item,Returns,Wrong color sent tafadhali?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
product_availability,Products,Mnayo hii kwa size medium?,Let us check current stock for you — please share the product name or picture and the size/color you want.
minimum_order,Orders,"Naomba kuuliza, Is there a minimum order amount?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
receipt_request,Payments,"Niaje, I need proof of purchase naomba kujua?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
international_shipping,Delivery,"Hi, Do you ship internationally?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
opening_hours,General,Time za kazi ni gani?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
goodbye,General,"Hey, Sawa, asante sana je?",You're welcome! Karibu tena — feel free to message us anytime. 😊
opening_hours,General,"Niaje, Do you work on public holidays?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
delivery_cost,Delivery,"Poa, What's the shipping fee to Mombasa je?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
return_policy,Returns,Ninaeza rudisha item baada ya siku ngapi?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
legitimacy_scam_concern,General,"Samahani, Do you have reviews from other customers?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
courier_tracking_number,Delivery,"Boss, Is there a tracking code for my delivery basi?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
delivery_time,Delivery,"Karibu, mimi ni customer, Utaleta lini order yangu?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
price_negotiation,Products,Can we negotiate the price?,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
delivery_cost,Delivery,"Msee, Delivery fee ni how much?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
cancel_order,Orders,"Sasa, Please cancel my purchase?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
complaint_escalation,General,"Excuse me, Naomba kuongea na manager kuhusu tatizo naomba kujua?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
delivery_time,Delivery,"Poa, How many days for delivery to Kisumu?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
delivery_cost,Delivery,"Hey, How much extra for delivery outside Nairobi naomba msaada?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
mpesa_payment,Payment,"Poa, Till number ni gani tafadhali?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
refund_status,Returns,I'm still waiting for my refund,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
gift_wrapping,Products,"Hello, Do you offer gift packaging tafadhali?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
courier_tracking_number,Delivery,Can you give me a tracking number?,We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
wrong_item,Returns,I received the wrong item please?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
cancel_order,Orders,I want to cancel my order,"No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
payment_confirmation,Payment,"Samahani, Umeconfirm payment yangu nisaidie?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
wholesale_reseller,Products,Do you sell wholesale?,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
cancel_order,Orders,Can I cancel this order nisaidie?,"No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
mpesa_payment,Payment,"Sasa, Till number ni gani naomba msaada?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
delivery_cost,Delivery,"Excuse me, Is delivery free please?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
goodbye,General,"Naomba kuuliza, Sawa, asante sana please?",You're welcome! Karibu tena — feel free to message us anytime. 😊
legitimacy_scam_concern,General,"Sasa, Is this shop legit nisaidie?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
greeting,General,"Poa, Mambo vipi please?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
installment_payment,Payments,"Samahani, Naeza lipa pole pole?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
product_care_instructions,Products,Can it be machine washed?,Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
price_negotiation,Products,"Quick question, Can we negotiate the price basi?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
international_shipping,Delivery,"Excuse me, Can you deliver to Uganda basi?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
courier_tracking_number,Delivery,Naomba tracking number ya order yangu basi?,We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
cancel_order,Orders,"Sasa, How do I cancel an order I made basi?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
gift_wrapping,Products,"Niaje, Is gift wrapping available je?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
product_care_instructions,Products,"Hello, Can it be machine washed asante?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
location_directions,General,Naeza kuja duka moja kwa moja?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
goodbye,General,"Thanks, bye",You're welcome! Karibu tena — feel free to message us anytime. 😊
discount_bulk,Promotions,"Msee, Can I get a discount for bulk order asante?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
complaint_escalation,General,"Karibu, mimi ni customer, Nataka kulalamika kuhusu huduma asante?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
product_availability,Products,Is this available in size 40?,Let us check current stock for you — please share the product name or picture and the size/color you want.
payment_confirmation,Payment,"Poa, Confirm payment please please?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
goodbye,General,"Hello, Bye tafadhali?",You're welcome! Karibu tena — feel free to message us anytime. 😊
courier_tracking_number,Delivery,"Naomba kuuliza, How do I track my parcel with the courier please?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
product_care_instructions,Products,"Excuse me, Utunzaji wa hii bidhaa ni aje?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
greeting,General,"Habari, Sasa naomba kujua?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
minimum_order,Orders,"Boss, Do I have to buy a certain quantity sasa?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
wrong_item,Returns,"Karibu, mimi ni customer, Wrong color sent?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
product_availability,Products,"Poa, Mnayo hii kwa size medium naomba msaada?",Let us check current stock for you — please share the product name or picture and the size/color you want.
social_media_catalog,General,Where can I see your full catalog asante?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
price_negotiation,Products,"Naomba kuuliza, Can we negotiate the price naomba msaada?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
refund_status,Returns,"Boss, I'm still waiting for my refund je?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
restock_notification,Products,"Hey, Mtapata stock tena lini?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
wholesale_reseller,Products,Bei ya jumla ni ngapi ukichukua zaidi ya 20 naomba msaada?,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
delivery_cost,Delivery,Do you charge for delivery within town?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
installment_payment,Payments,Naeza lipa pole pole?,We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
discount_bulk,Promotions,"Poa, Nikinunua vitu vitatu nafanya deal gani naomba kujua?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
gift_wrapping,Products,"Excuse me, Is gift wrapping available?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
contact_human,General,"Poa, Please connect me to someone sasa?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
receipt_request,Payments,"Samahani, Can you email me a receipt?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
mpesa_payment,Payment,"Sasa, How do I send payment for my order?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
cancel_order,Orders,"Excuse me, Naomba ni-cancel order please?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
location_directions,General,"Samahani, Naeza kuja duka moja kwa moja please?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
order_status,Orders,Order yangu ipo stage gani?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
delivery_cost,Delivery,"Naomba kuuliza, Delivery fee ni how much nisaidie?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
greeting,General,Niaje,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
wrong_item,Returns,Item niliyopokea si sahihi basi?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
goodbye,General,"Hi, Ok thanks tafadhali?",You're welcome! Karibu tena — feel free to message us anytime. 😊
courier_tracking_number,Delivery,"Niaje, Naomba tracking number ya order yangu basi?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
combine_orders,Orders,"Hi, Naeza unganisha order mbili ziende pamoja asante?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
complaint_escalation,General,"Sasa, This service was very poor?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
combine_orders,Orders,"Poa, Can you merge my orders to save on delivery?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
opening_hours,General,"Msee, Do you work on public holidays naomba msaada?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
restock_notification,Products,"Msee, When will this be back in stock please?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
complaint_escalation,General,"Karibu, mimi ni customer, I'm not happy with how this was handled nisaidie?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
return_policy,Returns,Can I return an item if I don't like it?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
damaged_in_transit,Returns,"Boss, It arrived broken, what do I do?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
discount_bulk,Promotions,Mko na promotion yoyote tafadhali?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
international_shipping,Delivery,"Poa, Can you deliver to Uganda naomba kujua?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
price_negotiation,Products,Naomba discount kidogo,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
product_care_instructions,Products,How do I take care of this item?,Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
gift_wrapping,Products,"Naomba kuuliza, Can you gift wrap my order naomba msaada?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
cancel_order,Orders,"Niaje, I want to cancel my order nisaidie?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
product_care_instructions,Products,"Boss, Utunzaji wa hii bidhaa ni aje sasa?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
payment_confirmation,Payment,Payment yangu imeenda sawa asante?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
minimum_order,Orders,"Excuse me, Can I order just one item sasa?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
complaint_escalation,General,I want to file a complaint naomba kujua?,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
return_policy,Returns,"Niaje, Can I exchange for a different size asante?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
contact_human,General,Please connect me to someone,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
mpesa_payment,Payment,How do I send payment for my order?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
return_policy,Returns,"Msee, Naeza return bidhaa please?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
price_negotiation,Products,"Boss, Bei ya mwisho ni ngapi tafadhali?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
order_status,Orders,"Sasa, Order yangu ipo stage gani tafadhali?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
opening_hours,General,What time are you open?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
cancel_order,Orders,Cancel order number 245,"No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
payment_confirmation,Payment,Payment yangu imeenda sawa tafadhali?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
delivery_cost,Delivery,"Karibu, mimi ni customer, Delivery charges ni ngapi tafadhali?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
contact_human,General,Can I talk to a real person?,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
refund_status,Returns,When will I get my refund?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
combine_orders,Orders,"Habari, Can you merge my orders to save on delivery basi?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
international_shipping,Delivery,"Hello, Can you deliver to Uganda naomba msaada?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
goodbye,General,Bye,You're welcome! Karibu tena — feel free to message us anytime. 😊
greeting,General,Hey there,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
product_availability,Products,"Niaje, Bidhaa hii bado ipo?",Let us check current stock for you — please share the product name or picture and the size/color you want.
gift_wrapping,Products,"Msee, Naomba m-wrap kama gift?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
courier_tracking_number,Delivery,"Hey, Can you give me a tracking number naomba kujua?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
payment_confirmation,Payment,Nimelipa kupitia mpesa umeona?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
minimum_order,Orders,"Boss, Is there a minimum order amount?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
receipt_request,Payments,"Habari, I need proof of purchase nisaidie?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
location_directions,General,"Poa, Can I visit the physical shop basi?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
location_directions,General,"Quick question, Naomba pin ya location yenu naomba msaada?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
refund_status,Returns,How long does a refund take?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
receipt_request,Payments,Naomba receipt ya order yangu,Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
goodbye,General,"Karibu, mimi ni customer, Thanks, bye?",You're welcome! Karibu tena — feel free to message us anytime. 😊
greeting,General,Hi?,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
payment_confirmation,Payment,"Karibu, mimi ni customer, Nimesend pesa saa hii, angalia asante?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
courier_tracking_number,Delivery,Can you give me a tracking number basi?,We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
price_negotiation,Products,"Boss, Naomba discount kidogo tafadhali?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
installment_payment,Payments,Naomba nilipe kidogo kidogo,We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
location_directions,General,"Quick question, Naeza kuja duka moja kwa moja sasa?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
delivery_time,Delivery,"Poa, Delivery inachukua muda gani?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
restock_notification,Products,"Boss, Can you tell me when it's restocked?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
legitimacy_scam_concern,General,Ni kweli hii ni duka halisi?,"Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
order_status,Orders,Can you track my order for me?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
installment_payment,Payments,Is there a payment plan?,We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
greeting,General,"Naomba kuuliza, Hi tafadhali?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
delivery_time,Delivery,"Boss, Delivery inachukua muda gani je?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
mpesa_payment,Payment,"Hello, What's your till number tafadhali?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
opening_hours,General,"Msee, Are you open on Sundays?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
opening_hours,General,"Boss, Is the shop open today?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
cancel_order,Orders,Nataka cancel order yangu,"No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
installment_payment,Payments,Naeza lipa nusu leo na nusu next week?,We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
cancel_order,Orders,Naomba ni-cancel order,"No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
delivery_cost,Delivery,How much is delivery?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
restock_notification,Products,"Quick question, Mtapata stock tena lini naomba msaada?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
delivery_cost,Delivery,Delivery charges ni ngapi?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
return_policy,Returns,Naeza change size ya item tafadhali?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
product_care_instructions,Products,"Niaje, Naosha hii item aje naomba kujua?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
gift_wrapping,Products,"Msee, Do you offer gift packaging sasa?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
delivery_cost,Delivery,How much extra for delivery outside Nairobi naomba msaada?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
delivery_time,Delivery,"Samahani, Utafika lini na order basi?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
discount_bulk,Promotions,"Excuse me, Mko na promotion yoyote?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
price_negotiation,Products,"Poa, Can we negotiate the price basi?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
cancel_order,Orders,How do I cancel an order I made?,"No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
cancel_order,Orders,"Quick question, Is it possible to cancel after paying sasa?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
opening_hours,General,"Hey, Mko open saa ngapi mpaka saa ngapi naomba msaada?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
product_care_instructions,Products,"Hey, Utunzaji wa hii bidhaa ni aje sasa?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
refund_status,Returns,"Hi, Refund yangu itafika lini?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
cancel_order,Orders,"Boss, Nimebadili mawazo, cancel order?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
international_shipping,Delivery,"Quick question, Can you deliver to Uganda sasa?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
price_negotiation,Products,"Samahani, Can we negotiate the price?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
product_care_instructions,Products,"Poa, Utunzaji wa hii bidhaa ni aje?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
payment_confirmation,Payment,Confirm payment please,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
legitimacy_scam_concern,General,"Boss, Are you a genuine seller please?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
contact_human,General,"Habari, I need to speak to customer care directly?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
price_negotiation,Products,"Poa, Naomba discount kidogo je?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
social_media_catalog,General,"Niaje, Send me your product catalog nisaidie?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
minimum_order,Orders,"Niaje, Is there a minimum order amount je?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
complaint_escalation,General,I'm not happy with how this was handled,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
wrong_item,Returns,I got a damaged item nisaidie?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
delivery_time,Delivery,How fast is your delivery within Nairobi asante?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
greeting,General,"Hello, is anyone there?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
restock_notification,Products,"Excuse me, Mtapata stock tena lini nisaidie?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
greeting,General,"Niaje, Niaje nisaidie?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
receipt_request,Payments,"Boss, Do you issue invoices please?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
